GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001476,1991,1991,,WPR,Western Pacific,,AUS,Australia,,4.1,4.1,,,,,
SA_0000001476,1994,1994,,WPR,Western Pacific,,AUS,Australia,,2.9,2.9,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,AUT,Austria,,1.3,1.3,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,AZE,Azerbaijan,,0.6,0.6,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,BLR,Belarus,,2.2,2.2,,,,,
SA_0000001476,2002,2002,,AMR,Americas,,CAN,Canada,,2.1,2.1,,,,,
SA_0000001476,2004,2004,,AMR,Americas,,CAN,Canada,,2.1,2.1,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,HRV,Croatia,,1.5,1.5,,,,,
SA_0000001476,1991,1991,,EUR,Europe,,CYP,Cyprus,,0.6,0.6,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,DNK,Denmark,,1.6,1.6,,,,,
SA_0000001476,1996,1996,,EUR,Europe,,EST,Estonia,,1.7,1.7,,,,,
SA_0000001476,2010,2010,,AFR,Africa,,ETH,Ethiopia,,3.6,3.6,,,,,
SA_0000001476,2006,2006,,EUR,Europe,,FIN,Finland,,4.6,4.6,,,,,
SA_0000001476,2008,2008,,EUR,Europe,,FIN,Finland,,4.6,4.6,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,FIN,Finland,,4.7,4.7,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,GRC,Greece,,0.9,0.9,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,GRC,Greece,,0.9,0.9,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,ISL,Iceland,,3.2,3.2,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,ISL,Iceland,,3.5,3.5,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,ITA,Italy,,1.1,1.1,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,ITA,Italy,,0.8,0.8,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,ITA,Italy,,0.7,0.7,,,,,
SA_0000001476,2001,2001,,WPR,Western Pacific,,JPN,Japan,,1.1,1.1,,,,,
SA_0000001476,2003,2003,,WPR,Western Pacific,,JPN,Japan,,1.1,1.1,,,,,
SA_0000001476,1993,1993,,EUR,Europe,,KGZ,Kyrgyzstan,,2.8,2.8,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,KGZ,Kyrgyzstan,,1.9,1.9,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,ARM,Armenia,,2.2,2.2,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,MDA,Republic of Moldova,,2.6,2.6,,,,,
SA_0000001476,1996,1996,,EUR,Europe,,NOR,Norway,,4,4,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,NOR,Norway,,4.1,4.1,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,POL,Poland,,8.5,8.5,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,POL,Poland,,7.2,7.2,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,RUS,Russian Federation,,2.5,2.5,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,RUS,Russian Federation,,1.7,1.7,,,,,
SA_0000001476,1992,1992,,AFR,Africa,,ZAF,South Africa,,7.8,7.8,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,UKR,Ukraine,,1.4,1.4,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,6.5,6.5,,,,,
SA_0000001476,2005,2005,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,5.4,5.4,,,,,
SA_0000001476,2012,2012,,EUR,Europe,,GBR,United Kingdom of Great Britain and Northern Ireland,,1.6,1.6,,,,,
SA_0000001476,1990,1990,,EUR,Europe,,UZB,Uzbekistan,,2.9,2.9,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,UZB,Uzbekistan,,3.2,3.2,,,,,
SA_0000001476,2011,2011,,EUR,Europe,,NLD,Netherlands,,0.07,0.07,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,NLD,Netherlands,,0.8,0.8,,,,,
SA_0000001476,2007,2007,,EUR,Europe,,SVN,Slovenia,,1,1,,,,,
SA_0000001476,2009,2009,,EUR,Europe,,SVN,Slovenia,,1,1,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,SWE,Sweden,,1.9,1.9,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,FIN,Finland,,4.1,4.1,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,MKD,North Macedonia,,1.2,1.2,,,,,
SA_0000001476,1997,1997,,EUR,Europe,,ROU,Romania,,2.9,2.9,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,ROU,Romania,,4.2,4.2,,,,,
SA_0000001476,2010,2010,,EUR,Europe,,ROU,Romania,,4,4,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,ALB,Albania,,1.3,1.3,,,,,
SA_0000001476,2015,2015,,WPR,Western Pacific,,AUS,Australia,,2.3,2.3,,,,,
SA_0000001476,2016,2016,,EUR,Europe,,AUT,Austria,,1.3,1.3,,,,,
SA_0000001476,2016,2016,,EUR,Europe,,CZE,Czechia,,1.5,1.5,,,,,
SA_0000001476,2015,2015,,EUR,Europe,,AZE,Azerbaijan,,0.5,0.5,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,AUT,Austria,,1.5,1.5,,,,,
SA_0000001476,1999,1999,,EUR,Europe,,AUT,Austria,,1.5,1.5,,,,,
SA_0000001476,2013,2013,,EUR,Europe,,AUT,Austria,,1.4,1.4,,,,,
SA_0000001476,1992,1992,,EUR,Europe,,AZE,Azerbaijan,,1,1,,,,,
SA_0000001476,1994,1994,,EUR,Europe,,BLR,Belarus,,4.7,4.7,,,,,
SA_0000001476,1995,1995,,EUR,Europe,,BLR,Belarus,,3.3,3.3,,,,,
SA_0000001476,1995,1995,,AMR,Americas,,CAN,Canada,,2.2,2.2,,,,,
SA_0000001476,1996,1996,,AMR,Americas,,CAN,Canada,,2,2,,,,,
SA_0000001476,2010,2010,,AMR,Americas,,CAN,Canada,,2,2,,,,,
SA_0000001476,2002,2002,,EUR,Europe,,DNK,Denmark,,2.2,2.2,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,DNK,Denmark,,2.3,2.3,,,,,
SA_0000001476,2003,2003,,EUR,Europe,,EST,Estonia,,2.1,2.1,,,,,
SA_0000001476,2004,2004,,EUR,Europe,,EST,Estonia,,1.9,1.9,,,,,
SA_0000001476,1998,1998,,EUR,Europe,,FIN,Finland,,5.6,5.6,,,,,
SA_0000001476,2001,2001,,EUR,Europe,,FIN,Finland,,5.4,5.4,,,,,
