GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001547,2010,2010,,EUR,Europe,,AUT,Austria,,SA_BEER,Beer,,24,24,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,AUT,Austria,,SA_SPIRITS,Spirits,,1000,1000,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,BGR,Bulgaria,,SA_BEER,Beer,,9.2,9.2,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,HRV,Croatia,,SA_BEER,Beer,,27.3,27.3,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CYP,Cyprus,,SA_SPIRITS,Spirits,,598.01,598.01,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,CZE,Czechia,,SA_SPIRITS,Spirits,,1145.59,1145.59,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,CZE,Czechia,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,DNK,Denmark,,SA_WINE,Wine,,172.7,172.7,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,EST,Estonia,,SA_WINE,Wine,,66.5,66.5,,,,,
SA_0000001547,2008,2008,,EUR,Europe,,FIN,Finland,,SA_WINE,Wine,,257,257,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,FIN,Finland,,SA_BEER,Beer,,129.8,129.8,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,FRA,France,,SA_BEER,Beer,,12.7,12.7,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,FRA,France,,SA_SPIRITS,Spirits,,1513,1513,,,,,
SA_0000001547,2009,2009,,EUR,Europe,,DEU,Germany,,SA_SPIRITS,Spirits,,1303,1303,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,DEU,Germany,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2010,2010,,EUR,Europe,,GRC,Greece,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,GRC,Greece,,SA_BEER,Beer,,31.2,31.2,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,HUN,Hungary,,SA_SPIRITS,Spirits,,984.38,984.38,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,IRL,Ireland,,SA_WINE,Wine,,262.24,262.24,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,ITA,Italy,,SA_WINE,Wine,,0,0,,,,,
SA_0000001547,2011,2011,,EUR,Europe,,LVA,Latvia,,SA_WINE,Wine,,63.45,63.45,,,,,
SA_0000001547,2012,2012,,EUR,Europe,,LVA,Latvia,,SA_BEER,Beer,,15.03,15.03,,,,,
