GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001554,2016,2016,,AFR,Africa,,DZA,Algeria,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,KEN,Kenya,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,BWA,Botswana,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MDG,Madagascar,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,ATG,Antigua and Barbuda,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,BRB,Barbados,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,BRA,Brazil,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,PRY,Paraguay,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,LCA,Saint Lucia,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,TTO,Trinidad and Tobago,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,AUT,Austria,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ALB,Albania,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,MKD,North Macedonia,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,UKR,Ukraine,,Yes,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,IND,India,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,NZL,New Zealand,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ISR,Israel,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,LUX,Luxembourg,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,CAF,Central African Republic,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,COG,Congo,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,GNQ,Equatorial Guinea,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,ECU,Ecuador,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,GTM,Guatemala,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,NGA,Nigeria,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,SEN,Senegal,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,ZAF,South Africa,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,TGO,Togo,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,HND,Honduras,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,Total ban,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,MAR,Morocco,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,BGR,Bulgaria,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,CZE,Czechia,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,FIN,Finland,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,DEU,Germany,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,MDA,Republic of Moldova,,Yes,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,SMR,San Marino,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,SVN,Slovenia,,Yes,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,LKA,Sri Lanka,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,AUS,Australia,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,CHN,China,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,VUT,Vanuatu,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,COK,Cook Islands,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,TCD,Chad,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,GIN,Guinea,,Yes,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,MWI,Malawi,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,NAM,Namibia,,No,,,,,,
SA_0000001554,2016,2016,,AFR,Africa,,SYC,Seychelles,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,ARG,Argentina,,Yes,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,DMA,Dominica,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,GUY,Guyana,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,NIC,Nicaragua,,No,,,,,,
SA_0000001554,2016,2016,,AMR,Americas,,VCT,Saint Vincent and the Grenadines,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,IRQ,Iraq,,No,,,,,,
SA_0000001554,2016,2016,,EMR,Eastern Mediterranean,,SDN,Sudan,,Total ban,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,AND,Andorra,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,BEL,Belgium,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,DNK,Denmark,,No,,,,,,
SA_0000001554,2016,2016,,EUR,Europe,,ITA,Italy,,No,,,,,,
SA_0000001554,2016,2016,,SEAR,South-East Asia,,THA,Thailand,,Yes,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,MYS,Malaysia,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,WSM,Samoa,,No,,,,,,
SA_0000001554,2016,2016,,WPR,Western Pacific,,VNM,Viet Nam,,No,,,,,,
