GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),BACGROUP (CODE),BACGROUP (DISPLAY),BACGROUP (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001520,2016,2016,,AFR,Africa,,GMB,Gambia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,KNA,Saint Kitts and Nevis,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,LCA,Saint Lucia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AMR,Americas,,SUR,Suriname,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GHA,Ghana,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,GNB,Guinea-Bissau,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,KEN,Kenya,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MOZ,Mozambique,,SA_GENERAL_POPULATION,General population,,0.06%,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,MOZ,Mozambique,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,AFR,Africa,,CMR,Cameroon,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.08%,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SAU,Saudi Arabia,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SOM,Somalia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,total ban,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,none,,,,,,
SA_0000001520,2016,2016,,EMR,Eastern Mediterranean,,TUN,Tunisia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BLR,Belarus,,SA_GENERAL_POPULATION,General population,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BLR,Belarus,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BGR,Bulgaria,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,BGR,Bulgaria,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,GEO,Georgia,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,0.03%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,DEU,Germany,,SA_GENERAL_POPULATION,General population,,0.05%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,GRC,Greece,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,HUN,Hungary,,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,LTU,Lithuania,,SA_GENERAL_POPULATION,General population,,0.04%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,LTU,Lithuania,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,zero tolerance,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MCO,Monaco,,SA_GENERAL_POPULATION,General population,,0.02%,,,,,,
SA_0000001520,2016,2016,,EUR,Europe,,MCO,Monaco,,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,0.02%,,,,,,
