"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AUT","Austria","","SA_BEER","Beer","","24","24.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AUT","Austria","","SA_SPIRITS","Spirits","","1000","1000.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BGR","Bulgaria","","SA_BEER","Beer","","9.2","9.20000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","HRV","Croatia","","SA_BEER","Beer","","27.3","27.30000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","CYP","Cyprus","","SA_SPIRITS","Spirits","","598.01","598.01000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","CZE","Czechia","","SA_SPIRITS","Spirits","","1145.59","1145.59000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","CZE","Czechia","","SA_WINE","Wine","","0","0.00000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","DNK","Denmark","","SA_WINE","Wine","","172.7","172.70000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","EST","Estonia","","SA_WINE","Wine","","66.5","66.50000","","","","",""
"SA_0000001547","Excise duty (average) per hectolitre in Euros","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2318","","","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","FIN","Finland","","SA_WINE","Wine","","257","257.00000","","","","",""
