"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.01","0.01000","0.00607","0.01369","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_BEER","Beer","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_BEER","Beer","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_SPIRITS","Spirits","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_TOTAL","All types","","0.01","0.01000","0.00606","0.01395","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_WINE","Wine","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_BEER","Beer","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_BEER","Beer","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_SPIRITS","Spirits","","0.01","0.01000","0.00578","0.01378","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_TOTAL","All types","","0.01","0.01000","0.00578","0.01378","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2018","2018","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_TOTAL","All types","","0.01","0.01000","0.00613","0.01370","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAFG","(FAO) 1961-2015; (FAO, IWSR) 2016-2018","","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","SA_WINE","Wine","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2010","2010","","AFR","Africa","","AGO","Angola","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.14","0.14000","0.08709","0.19350","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2011","2011","","AFR","Africa","","AGO","Angola","","SA_BEER","Beer","","4.43","4.43000","2.70203","6.18780","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2012","2012","","AFR","Africa","","AGO","Angola","","SA_BEER","Beer","","4.59","4.59000","2.72304","6.39213","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2012","2012","","AFR","Africa","","AGO","Angola","","SA_SPIRITS","Spirits","","2.23","2.23000","1.30339","3.04689","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2012","2012","","AFR","Africa","","AGO","Angola","","SA_TOTAL","All types","","7.83","7.83000","5.72477","9.70376","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2013","2013","","AFR","Africa","","AGO","Angola","","SA_TOTAL","All types","","7.67","7.67000","5.70567","9.78382","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2014","2014","","AFR","Africa","","AGO","Angola","","SA_WINE","Wine","","1.14","1.14000","0.71236","1.54901","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2015","2015","","AFR","Africa","","AGO","Angola","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.1","0.10000","0.06389","0.13979","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2016","2016","","AFR","Africa","","AGO","Angola","","SA_BEER","Beer","","3.39","3.39000","2.05097","4.69917","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","AGO","Angola","","SA_SPIRITS","Spirits","","1.84","1.84000","1.12703","2.55467","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2017","2017","","AFR","Africa","","AGO","Angola","","SA_TOTAL","All types","","6.16","6.16000","4.58717","7.80910","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2018","2018","","AFR","Africa","","AGO","Angola","","SA_TOTAL","All types","","6.15","6.15000","4.54059","7.78551","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAGO","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2019","2019","","AFR","Africa","","AGO","Angola","","SA_WINE","Wine","","0.72","0.72000","0.44218","1.00323","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","ALB","Albania","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.11","0.11000","0.06751","0.15302","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","ALB","Albania","","SA_BEER","Beer","","1.88","1.88000","1.15350","2.67006","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ALB","Albania","","SA_SPIRITS","Spirits","","1.88","1.88000","1.15389","2.62058","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ALB","Albania","","SA_TOTAL","All types","","4.43","4.43000","3.45428","5.50210","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2013","2013","","EUR","Europe","","ALB","Albania","","SA_TOTAL","All types","","4.28","4.28000","3.22119","5.25723","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","ALB","Albania","","SA_WINE","Wine","","0.99","0.99000","0.60078","1.39342","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","ALB","Albania","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.08","0.08000","0.04903","0.10946","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2016","2016","","EUR","Europe","","ALB","Albania","","SA_BEER","Beer","","1.52","1.52000","0.89655","2.09289","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","ALB","Albania","","SA_SPIRITS","Spirits","","1.56","1.56000","0.88485","2.14410","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","ALB","Albania","","SA_TOTAL","All types","","4.39","4.39000","3.36414","5.32560","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","ALB","Albania","","SA_TOTAL","All types","","4.44","4.44000","3.46038","5.49505","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHALB","(FAO) 1962-1999; (GlobalData, IWSR, OIV) 2000-2018","","PUBLISHED","Published","","2019","2019","","EUR","Europe","","ALB","Albania","","SA_WINE","Wine","","1.15","1.15000","0.68247","1.60170","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AND","Andorra","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","AND","Andorra","","SA_BEER","Beer","","3.1","3.10000","1.91510","4.26837","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AND","Andorra","","SA_SPIRITS","Spirits","","2.36","2.36000","1.40240","3.26033","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AND","Andorra","","SA_TOTAL","All types","","10.33","10.33000","7.79861","12.62336","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2013","2013","","EUR","Europe","","AND","Andorra","","SA_TOTAL","All types","","10.06","10.06000","7.40639","12.22765","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2014","2014","","EUR","Europe","","AND","Andorra","","SA_WINE","Wine","","4.13","4.13000","2.68134","5.63457","","",""
