"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","LBY","Libya","","FMLE","Female","","0 [0-0]","0.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","KWT","Kuwait","","FMLE","Female","","0.1 [0.1-0.1]","0.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","LBY","Libya","","MLE","Male","","0.1 [0.1-0.1]","0.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","FMLE","Female","","0.1 [0.1-0.2]","0.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","LBY","Libya","","BTSX","Both sexes","","0.1 [0-0.1]","0.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SOM","Somalia","","FMLE","Female","","0.2 [0.1-0.2]","0.20000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","YEM","Yemen","","FMLE","Female","","0.2 [0.1-0.2]","0.20000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MRT","Mauritania","","FMLE","Female","","0.2 [0.2-0.3]","0.20000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","KWT","Kuwait","","BTSX","Both sexes","","0.2 [0.2-0.3]","0.20000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","PAK","Pakistan","","FMLE","Female","","0.3 [0.2-0.4]","0.30000","","","","",""
