"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","BHR","Bahrain","","8.3","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","BHR","Bahrain","","26.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","BHR","Bahrain","","7.9","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","BHR","Bahrain","","11.2","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","BHR","Bahrain","","9.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","BHR","Bahrain","","17.4","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","BHR","Bahrain","","11.8","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BHR","Data source","","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","BHR","Bahrain","","5.7","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BTN","Data source","","PUBLISHED","Published","","2009","2009","","SEAR","South-East Asia","","BTN","Bhutan","","0.6","","","","","",""
"SA_0000001695","Cautions and arrests for public drunkenness, per 100,000 population","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2321","SA_0000001695_BTN","Data source","","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","BTN","Bhutan","","1.2","","","","","",""
